GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-paymentgateway,com.finaro,Application,5,47,0,0,2,10,1,4,1,4
java-paymentgateway,com.finaro.logging.dto,LogConfidentialData,3,8,0,0,1,2,1,2,1,2
java-paymentgateway,com.finaro.logging.dto,MaskObjectExample,92,23,22,0,0,3,14,6,3,6
java-paymentgateway,com.finaro.config.audit,AuditProperties,0,10,0,0,0,3,0,3,0,3
java-paymentgateway,com.finaro.dto.masking,MaskStringReplacement,108,87,33,5,0,5,21,11,3,10
java-paymentgateway,com.finaro.dto.masking,SecureStringReplacement,78,64,23,3,0,4,16,8,3,8
java-paymentgateway,com.finaro.logging.converter,MaskingConverter,37,7,8,0,7,3,5,2,1,2
java-paymentgateway,com.finaro.config.db.audit,DatabaseAuditing,0,6,0,0,0,2,0,2,0,2
java-paymentgateway,com.finaro.dto.payment,BasePaymentResponseDto.BasePaymentResponseDtoBuilderImpl,0,7,0,0,0,1,0,2,0,2
java-paymentgateway,com.finaro.dto.payment,BasePaymentResponseDto,84,14,14,0,3,2,15,3,8,3
java-paymentgateway,com.finaro.dto.payment,ErrorPaymentResponseDto,19,15,0,0,3,2,4,3,4,3
java-paymentgateway,com.finaro.dto.payment,BasePaymentResponseDto.BasePaymentResponseDtoBuilder,16,9,0,0,0,1,3,2,3,2
java-paymentgateway,com.finaro.dto.payment,ErrorPaymentResponseDto.ErrorPaymentResponseDtoBuilderImpl,0,7,0,0,0,1,0,2,0,2
java-paymentgateway,com.finaro.dto.payment,ErrorPaymentResponseDto.ErrorPaymentResponseDtoBuilder,22,9,0,0,0,1,3,2,3,2
java-paymentgateway,com.finaro.api,PaymentController,0,45,0,0,0,9,0,4,0,4
java-paymentgateway,com.finaro.config,ObjectMapperModuleConfig,0,141,0,0,0,29,0,7,0,7
java-paymentgateway,com.finaro.constant,Constants,7,0,0,0,1,0,1,0,1,0
java-paymentgateway,com.finaro.constant,Constants.Http,7,32,0,0,1,5,1,2,1,2
java-paymentgateway,com.finaro.constant,Constants.DateTime,7,0,0,0,1,0,1,0,1,0
java-paymentgateway,com.finaro.constant,Constants.LogMarkers,7,4,0,0,1,1,1,1,1,1
java-paymentgateway,com.finaro.filter,TraceFilter,2,37,1,1,1,11,1,4,0,4
java-paymentgateway,com.finaro.exception,NotFoundException,7,21,0,0,2,6,1,3,1,3
java-paymentgateway,com.finaro.mapper,PaymentResponseMapper,39,29,5,1,12,4,8,2,5,2
java-paymentgateway,com.finaro.mapper,PaymentResponseMapperImpl,42,22,14,2,14,7,10,2,2,2
java-paymentgateway,com.finaro.mapper,TransactionMapper,0,14,0,0,0,4,0,1,0,1
java-paymentgateway,com.finaro.mapper,BasePaymentResponseMapperImpl,2,14,1,1,1,5,1,2,0,2
java-paymentgateway,com.finaro.mapper,TransactionMapperImpl,4,109,12,12,2,27,12,3,0,3
java-paymentgateway,com.finaro.mapper,CardMapper,0,24,1,3,0,6,1,4,0,3
java-paymentgateway,com.finaro.mapper,CardMapperImpl,4,44,2,2,2,11,2,3,0,3
java-paymentgateway,com.finaro.mapper,AbstractMaskMapper,51,33,13,1,0,4,11,4,4,4
java-paymentgateway,com.finaro.mapper,ClientMapperImpl,4,46,4,4,2,13,4,3,0,3
java-paymentgateway,com.finaro.mapper,ClientMapper,0,3,0,0,0,1,0,1,0,1
java-paymentgateway,com.finaro.dto.transaction,ClientDto,92,23,22,0,0,3,14,6,3,6
java-paymentgateway,com.finaro.dto.transaction,TransactionDto.TransactionDtoBuilder,12,42,0,0,0,1,1,7,1,7
java-paymentgateway,com.finaro.dto.transaction,CardDto,123,32,30,0,0,4,18,8,3,8
java-paymentgateway,com.finaro.dto.transaction,TransactionDto,185,72,46,0,0,9,26,14,3,14
java-paymentgateway,com.finaro.config.masking,SecureStringsConfiguration,0,38,2,2,0,10,2,4,0,4
java-paymentgateway,com.finaro.config.masking,SecureStringsProperties,0,17,0,0,0,4,0,5,0,5
java-paymentgateway,com.finaro.config.async,ThreadPoolProperties,0,31,0,0,0,6,0,9,0,9
java-paymentgateway,com.finaro.config.async,ThreadPoolConfiguration,0,34,0,0,0,8,0,2,0,2
java-paymentgateway,com.finaro.persistence.entity,TransactionEntity.TransactionEntityBuilder,50,33,0,0,0,1,3,6,3,6
java-paymentgateway,com.finaro.persistence.entity,CardEntity.CardEntityBuilderImpl,0,7,0,0,0,1,0,2,0,2
java-paymentgateway,com.finaro.persistence.entity,ClientEntity,37,55,1,1,2,10,5,8,4,8
java-paymentgateway,com.finaro.persistence.entity,CardEntity,37,55,1,1,2,10,5,8,4,8
java-paymentgateway,com.finaro.persistence.entity,AbstractTimeAuditEntity,8,20,0,0,1,4,2,4,2,4
java-paymentgateway,com.finaro.persistence.entity,AbstractAuditEntity,8,21,0,0,1,4,2,4,2,4
java-paymentgateway,com.finaro.persistence.entity,AbstractAuditEntity.AbstractAuditEntityBuilder,41,3,0,0,0,1,5,1,5,1
java-paymentgateway,com.finaro.persistence.entity,AbstractTimeAuditEntity.AbstractTimeAuditEntityBuilder,35,3,0,0,0,1,5,1,5,1
java-paymentgateway,com.finaro.persistence.entity,ClientEntity.ClientEntityBuilderImpl,0,7,0,0,0,1,0,2,0,2
java-paymentgateway,com.finaro.persistence.entity,TransactionEntity.TransactionEntityBuilderImpl,0,7,0,0,0,1,0,2,0,2
java-paymentgateway,com.finaro.persistence.entity,ClientEntity.ClientEntityBuilder,42,15,0,0,0,1,4,3,4,3
java-paymentgateway,com.finaro.persistence.entity,TransactionEntity,44,46,0,0,2,7,7,8,7,8
java-paymentgateway,com.finaro.persistence.entity,CardEntity.CardEntityBuilder,42,15,0,0,0,1,4,3,4,3
java-paymentgateway,com.finaro.utils,Utils,7,12,0,0,1,2,1,2,1,2
java-paymentgateway,com.finaro.api.exception_handler,GlobalExceptionHandler,15,42,1,1,4,11,2,4,1,4
java-paymentgateway,com.finaro.validation.constraint,NotExpiredValidator,1,38,2,4,0,9,2,5,0,4
java-paymentgateway,com.finaro.validation.constraint,CardNumberValidator,0,19,1,3,0,4,1,4,0,3
java-paymentgateway,com.finaro.aop,LoggingAspect,55,67,2,2,7,13,4,4,2,4
java-paymentgateway,com.finaro.logging.filter,ConfidentialMarkerFilter,35,17,8,2,9,7,6,3,1,3
java-paymentgateway,com.finaro.service.impl,FileServiceImpl,6,60,2,2,2,12,2,4,0,4
java-paymentgateway,com.finaro.service.impl,TransactionServiceImpl,0,66,0,0,0,9,0,5,0,5
java-paymentgateway,com.finaro.service.impl,MaskingService,32,84,6,6,14,20,5,7,0,6
java-paymentgateway,com.finaro.service.impl,AuditServiceImpl,10,56,1,1,3,12,1,4,0,4
